Game Number,Runs Scored,Inning Data,Player Stats
1,7,"[{:hits=>5, :runs=>4}, {:hits=>2, :runs=>1}, {:hits=>0, :runs=>0}, {:hits=>2, :runs=>1}, {:hits=>1, :runs=>0}, {:hits=>2, :runs=>1}, {:hits=>1, :runs=>0}]","{""Thomas, Zach""=>{:singles=>0, :doubles=>2, :triples=>0, :rbi=>0, :hr=>0, :ab=>4}, ""Wickham, Will""=>{:singles=>2, :doubles=>0, :triples=>0, :rbi=>1, :hr=>0, :ab=>3}, ""Whitacre, Paul""=>{:singles=>0, :doubles=>0, :triples=>0, :rbi=>2, :hr=>1, :ab=>2}, ""Bergan, Derek""=>{:singles=>1, :doubles=>0, :triples=>0, :rbi=>0, :hr=>0, :ab=>2}, ""Louw, Johan""=>{:singles=>0, :doubles=>0, :triples=>0, :rbi=>0, :hr=>0, :ab=>3}, ""Campbell, Matthew""=>{:singles=>0, :doubles=>1, :triples=>0, :rbi=>1, :hr=>0, :ab=>2}, ""Walker, Quinn""=>{:singles=>1, :doubles=>1, :triples=>0, :rbi=>1, :hr=>0, :ab=>2}, ""Skrezyna, Dan""=>{:singles=>1, :doubles=>0, :triples=>0, :rbi=>0, :hr=>0, :ab=>4}, ""Stolker, Joscelyn""=>{:singles=>0, :doubles=>1, :triples=>0, :rbi=>1, :hr=>0, :ab=>2}, ""Warner, Tim""=>{:singles=>0, :doubles=>1, :triples=>0, :rbi=>0, :hr=>0, :ab=>2}, ""Gonnella, Chris""=>{:singles=>1, :doubles=>0, :triples=>0, :rbi=>1, :hr=>0, :ab=>2}, ""Brittany, Haley""=>{:singles=>0, :doubles=>0, :triples=>0, :rbi=>0, :hr=>0, :ab=>4}, ""Hartman, April""=>{:singles=>0, :doubles=>0, :triples=>0, :rbi=>0, :hr=>0, :ab=>2}}"
2,18,"[{:hits=>3, :runs=>2}, {:hits=>8, :runs=>6}, {:hits=>4, :runs=>2}, {:hits=>2, :runs=>2}, {:hits=>5, :runs=>3}, {:hits=>1, :runs=>0}, {:hits=>4, :runs=>3}]","{""Thomas, Zach""=>{:singles=>1, :doubles=>1, :triples=>0, :rbi=>5, :hr=>1, :ab=>4}, ""Wickham, Will""=>{:singles=>1, :doubles=>1, :triples=>0, :rbi=>0, :hr=>0, :ab=>4}, ""Whitacre, Paul""=>{:singles=>1, :doubles=>2, :triples=>0, :rbi=>1, :hr=>0, :ab=>3}, ""Bergan, Derek""=>{:singles=>1, :doubles=>1, :triples=>0, :rbi=>2, :hr=>0, :ab=>3}, ""Louw, Johan""=>{:singles=>2, :doubles=>0, :triples=>0, :rbi=>1, :hr=>0, :ab=>3}, ""Campbell, Matthew""=>{:singles=>3, :doubles=>0, :triples=>0, :rbi=>0, :hr=>0, :ab=>4}, ""Walker, Quinn""=>{:singles=>1, :doubles=>1, :triples=>0, :rbi=>2, :hr=>0, :ab=>3}, ""Skrezyna, Dan""=>{:singles=>1, :doubles=>1, :triples=>0, :rbi=>1, :hr=>0, :ab=>4}, ""Stolker, Joscelyn""=>{:singles=>1, :doubles=>0, :triples=>0, :rbi=>0, :hr=>0, :ab=>4}, ""Warner, Tim""=>{:singles=>1, :doubles=>0, :triples=>0, :rbi=>0, :hr=>0, :ab=>3}, ""Gonnella, Chris""=>{:singles=>2, :doubles=>0, :triples=>0, :rbi=>3, :hr=>1, :ab=>3}, ""Brittany, Haley""=>{:singles=>1, :doubles=>0, :triples=>0, :rbi=>1, :hr=>0, :ab=>4}, ""Hartman, April""=>{:singles=>1, :doubles=>1, :triples=>0, :rbi=>2, :hr=>0, :ab=>3}}"
3,12,"[{:hits=>2, :runs=>1}, {:hits=>1, :runs=>0}, {:hits=>3, :runs=>2}, {:hits=>3, :runs=>2}, {:hits=>4, :runs=>2}, {:hits=>3, :runs=>1}, {:hits=>7, :runs=>4}]","{""Thomas, Zach""=>{:singles=>1, :doubles=>1, :triples=>0, :rbi=>1, :hr=>0, :ab=>3}, ""Wickham, Will""=>{:singles=>1, :doubles=>0, :triples=>0, :rbi=>1, :hr=>0, :ab=>3}, ""Whitacre, Paul""=>{:singles=>0, :doubles=>1, :triples=>0, :rbi=>0, :hr=>0, :ab=>3}, ""Bergan, Derek""=>{:singles=>1, :doubles=>1, :triples=>0, :rbi=>2, :hr=>0, :ab=>3}, ""Louw, Johan""=>{:singles=>0, :doubles=>0, :triples=>0, :rbi=>3, :hr=>2, :ab=>5}, ""Campbell, Matthew""=>{:singles=>1, :doubles=>0, :triples=>0, :rbi=>0, :hr=>0, :ab=>3}, ""Walker, Quinn""=>{:singles=>1, :doubles=>1, :triples=>0, :rbi=>0, :hr=>0, :ab=>3}, ""Skrezyna, Dan""=>{:singles=>1, :doubles=>1, :triples=>0, :rbi=>1, :hr=>0, :ab=>4}, ""Stolker, Joscelyn""=>{:singles=>3, :doubles=>0, :triples=>0, :rbi=>1, :hr=>0, :ab=>3}, ""Warner, Tim""=>{:singles=>2, :doubles=>0, :triples=>1, :rbi=>2, :hr=>0, :ab=>3}, ""Gonnella, Chris""=>{:singles=>2, :doubles=>0, :triples=>0, :rbi=>1, :hr=>0, :ab=>3}, ""Brittany, Haley""=>{:singles=>0, :doubles=>0, :triples=>0, :rbi=>0, :hr=>0, :ab=>2}, ""Hartman, April""=>{:singles=>2, :doubles=>0, :triples=>0, :rbi=>0, :hr=>0, :ab=>3}}"
4,14,"[{:hits=>7, :runs=>4}, {:hits=>1, :runs=>1}, {:hits=>3, :runs=>1}, {:hits=>4, :runs=>3}, {:hits=>1, :runs=>0}, {:hits=>4, :runs=>4}, {:hits=>3, :runs=>1}]","{""Thomas, Zach""=>{:singles=>0, :doubles=>1, :triples=>0, :rbi=>3, :hr=>2, :ab=>3}, ""Wickham, Will""=>{:singles=>2, :doubles=>0, :triples=>0, :rbi=>1, :hr=>0, :ab=>3}, ""Whitacre, Paul""=>{:singles=>2, :doubles=>0, :triples=>0, :rbi=>0, :hr=>0, :ab=>3}, ""Bergan, Derek""=>{:singles=>1, :doubles=>0, :triples=>1, :rbi=>2, :hr=>1, :ab=>3}, ""Louw, Johan""=>{:singles=>0, :doubles=>0, :triples=>0, :rbi=>5, :hr=>3, :ab=>3}, ""Campbell, Matthew""=>{:singles=>1, :doubles=>0, :triples=>0, :rbi=>0, :hr=>0, :ab=>4}, ""Walker, Quinn""=>{:singles=>1, :doubles=>1, :triples=>0, :rbi=>0, :hr=>0, :ab=>3}, ""Skrezyna, Dan""=>{:singles=>3, :doubles=>0, :triples=>0, :rbi=>1, :hr=>0, :ab=>3}, ""Stolker, Joscelyn""=>{:singles=>1, :doubles=>0, :triples=>0, :rbi=>1, :hr=>0, :ab=>4}, ""Warner, Tim""=>{:singles=>0, :doubles=>0, :triples=>0, :rbi=>0, :hr=>0, :ab=>4}, ""Gonnella, Chris""=>{:singles=>0, :doubles=>0, :triples=>0, :rbi=>1, :hr=>1, :ab=>2}, ""Brittany, Haley""=>{:singles=>1, :doubles=>0, :triples=>0, :rbi=>0, :hr=>0, :ab=>3}, ""Hartman, April""=>{:singles=>1, :doubles=>0, :triples=>0, :rbi=>0, :hr=>0, :ab=>3}}"
5,15,"[{:hits=>1, :runs=>1}, {:hits=>2, :runs=>0}, {:hits=>6, :runs=>5}, {:hits=>6, :runs=>4}, {:hits=>2, :runs=>0}, {:hits=>2, :runs=>1}, {:hits=>4, :runs=>4}]","{""Thomas, Zach""=>{:singles=>0, :doubles=>0, :triples=>0, :rbi=>0, :hr=>0, :ab=>3}, ""Wickham, Will""=>{:singles=>0, :doubles=>1, :triples=>0, :rbi=>2, :hr=>1, :ab=>4}, ""Whitacre, Paul""=>{:singles=>0, :doubles=>0, :triples=>0, :rbi=>1, :hr=>1, :ab=>4}, ""Bergan, Derek""=>{:singles=>0, :doubles=>2, :triples=>0, :rbi=>0, :hr=>0, :ab=>4}, ""Louw, Johan""=>{:singles=>0, :doubles=>0, :triples=>1, :rbi=>1, :hr=>0, :ab=>3}, ""Campbell, Matthew""=>{:singles=>2, :doubles=>1, :triples=>0, :rbi=>1, :hr=>0, :ab=>4}, ""Walker, Quinn""=>{:singles=>2, :doubles=>0, :triples=>0, :rbi=>1, :hr=>0, :ab=>3}, ""Skrezyna, Dan""=>{:singles=>1, :doubles=>1, :triples=>0, :rbi=>0, :hr=>0, :ab=>3}, ""Stolker, Joscelyn""=>{:singles=>3, :doubles=>0, :triples=>0, :rbi=>2, :hr=>0, :ab=>3}, ""Warner, Tim""=>{:singles=>2, :doubles=>0, :triples=>0, :rbi=>1, :hr=>0, :ab=>3}, ""Gonnella, Chris""=>{:singles=>1, :doubles=>0, :triples=>0, :rbi=>3, :hr=>1, :ab=>3}, ""Brittany, Haley""=>{:singles=>1, :doubles=>0, :triples=>0, :rbi=>1, :hr=>0, :ab=>3}, ""Hartman, April""=>{:singles=>1, :doubles=>1, :triples=>0, :rbi=>2, :hr=>0, :ab=>2}}"
6,13,"[{:hits=>2, :runs=>1}, {:hits=>3, :runs=>2}, {:hits=>3, :runs=>2}, {:hits=>2, :runs=>1}, {:hits=>3, :runs=>1}, {:hits=>4, :runs=>2}, {:hits=>6, :runs=>4}]","{""Thomas, Zach""=>{:singles=>1, :doubles=>0, :triples=>1, :rbi=>1, :hr=>0, :ab=>3}, ""Wickham, Will""=>{:singles=>0, :doubles=>1, :triples=>0, :rbi=>0, :hr=>0, :ab=>4}, ""Whitacre, Paul""=>{:singles=>1, :doubles=>0, :triples=>0, :rbi=>0, :hr=>0, :ab=>3}, ""Bergan, Derek""=>{:singles=>0, :doubles=>3, :triples=>0, :rbi=>2, :hr=>0, :ab=>3}, ""Louw, Johan""=>{:singles=>1, :doubles=>0, :triples=>0, :rbi=>3, :hr=>1, :ab=>4}, ""Campbell, Matthew""=>{:singles=>3, :doubles=>0, :triples=>0, :rbi=>0, :hr=>0, :ab=>4}, ""Walker, Quinn""=>{:singles=>1, :doubles=>1, :triples=>0, :rbi=>1, :hr=>0, :ab=>3}, ""Skrezyna, Dan""=>{:singles=>2, :doubles=>1, :triples=>0, :rbi=>2, :hr=>0, :ab=>3}, ""Stolker, Joscelyn""=>{:singles=>2, :doubles=>0, :triples=>0, :rbi=>1, :hr=>0, :ab=>4}, ""Warner, Tim""=>{:singles=>0, :doubles=>0, :triples=>1, :rbi=>0, :hr=>0, :ab=>4}, ""Gonnella, Chris""=>{:singles=>1, :doubles=>1, :triples=>0, :rbi=>2, :hr=>0, :ab=>2}, ""Brittany, Haley""=>{:singles=>0, :doubles=>0, :triples=>0, :rbi=>0, :hr=>0, :ab=>2}, ""Hartman, April""=>{:singles=>1, :doubles=>0, :triples=>0, :rbi=>1, :hr=>0, :ab=>2}}"
7,8,"[{:hits=>2, :runs=>1}, {:hits=>3, :runs=>1}, {:hits=>1, :runs=>0}, {:hits=>3, :runs=>2}, {:hits=>4, :runs=>4}, {:hits=>0, :runs=>0}, {:hits=>0, :runs=>0}]","{""Thomas, Zach""=>{:singles=>0, :doubles=>0, :triples=>1, :rbi=>1, :hr=>1, :ab=>3}, ""Wickham, Will""=>{:singles=>0, :doubles=>0, :triples=>0, :rbi=>0, :hr=>0, :ab=>3}, ""Whitacre, Paul""=>{:singles=>1, :doubles=>0, :triples=>0, :rbi=>1, :hr=>0, :ab=>2}, ""Bergan, Derek""=>{:singles=>0, :doubles=>2, :triples=>0, :rbi=>1, :hr=>0, :ab=>2}, ""Louw, Johan""=>{:singles=>0, :doubles=>1, :triples=>0, :rbi=>0, :hr=>0, :ab=>4}, ""Campbell, Matthew""=>{:singles=>1, :doubles=>0, :triples=>0, :rbi=>0, :hr=>0, :ab=>2}, ""Walker, Quinn""=>{:singles=>0, :doubles=>1, :triples=>0, :rbi=>1, :hr=>0, :ab=>2}, ""Skrezyna, Dan""=>{:singles=>1, :doubles=>0, :triples=>0, :rbi=>0, :hr=>0, :ab=>2}, ""Stolker, Joscelyn""=>{:singles=>2, :doubles=>0, :triples=>0, :rbi=>2, :hr=>0, :ab=>2}, ""Warner, Tim""=>{:singles=>0, :doubles=>1, :triples=>0, :rbi=>2, :hr=>1, :ab=>2}, ""Gonnella, Chris""=>{:singles=>0, :doubles=>0, :triples=>0, :rbi=>0, :hr=>0, :ab=>3}, ""Brittany, Haley""=>{:singles=>0, :doubles=>0, :triples=>0, :rbi=>0, :hr=>0, :ab=>2}, ""Hartman, April""=>{:singles=>0, :doubles=>0, :triples=>0, :rbi=>0, :hr=>0, :ab=>4}}"
8,16,"[{:hits=>7, :runs=>5}, {:hits=>1, :runs=>0}, {:hits=>7, :runs=>5}, {:hits=>3, :runs=>1}, {:hits=>3, :runs=>1}, {:hits=>2, :runs=>1}, {:hits=>4, :runs=>3}]","{""Thomas, Zach""=>{:singles=>2, :doubles=>0, :triples=>1, :rbi=>1, :hr=>0, :ab=>3}, ""Wickham, Will""=>{:singles=>2, :doubles=>0, :triples=>0, :rbi=>2, :hr=>0, :ab=>3}, ""Whitacre, Paul""=>{:singles=>1, :doubles=>2, :triples=>0, :rbi=>2, :hr=>0, :ab=>4}, ""Bergan, Derek""=>{:singles=>0, :doubles=>2, :triples=>0, :rbi=>2, :hr=>0, :ab=>3}, ""Louw, Johan""=>{:singles=>1, :doubles=>0, :triples=>0, :rbi=>1, :hr=>0, :ab=>3}, ""Campbell, Matthew""=>{:singles=>3, :doubles=>0, :triples=>0, :rbi=>2, :hr=>0, :ab=>3}, ""Walker, Quinn""=>{:singles=>1, :doubles=>1, :triples=>0, :rbi=>1, :hr=>0, :ab=>5}, ""Skrezyna, Dan""=>{:singles=>1, :doubles=>1, :triples=>0, :rbi=>1, :hr=>0, :ab=>3}, ""Stolker, Joscelyn""=>{:singles=>2, :doubles=>0, :triples=>0, :rbi=>1, :hr=>0, :ab=>4}, ""Warner, Tim""=>{:singles=>0, :doubles=>1, :triples=>0, :rbi=>2, :hr=>1, :ab=>3}, ""Gonnella, Chris""=>{:singles=>2, :doubles=>0, :triples=>0, :rbi=>1, :hr=>0, :ab=>3}, ""Brittany, Haley""=>{:singles=>2, :doubles=>0, :triples=>0, :rbi=>0, :hr=>0, :ab=>5}, ""Hartman, April""=>{:singles=>1, :doubles=>0, :triples=>0, :rbi=>0, :hr=>0, :ab=>3}}"
9,15,"[{:hits=>4, :runs=>3}, {:hits=>0, :runs=>0}, {:hits=>3, :runs=>3}, {:hits=>4, :runs=>2}, {:hits=>2, :runs=>0}, {:hits=>0, :runs=>0}, {:hits=>8, :runs=>7}]","{""Thomas, Zach""=>{:singles=>2, :doubles=>0, :triples=>0, :rbi=>2, :hr=>1, :ab=>3}, ""Wickham, Will""=>{:singles=>1, :doubles=>0, :triples=>2, :rbi=>3, :hr=>0, :ab=>3}, ""Whitacre, Paul""=>{:singles=>1, :doubles=>1, :triples=>0, :rbi=>1, :hr=>0, :ab=>3}, ""Bergan, Derek""=>{:singles=>1, :doubles=>1, :triples=>0, :rbi=>2, :hr=>0, :ab=>3}, ""Louw, Johan""=>{:singles=>1, :doubles=>0, :triples=>0, :rbi=>2, :hr=>1, :ab=>3}, ""Campbell, Matthew""=>{:singles=>1, :doubles=>0, :triples=>0, :rbi=>0, :hr=>0, :ab=>4}, ""Walker, Quinn""=>{:singles=>0, :doubles=>0, :triples=>0, :rbi=>2, :hr=>1, :ab=>3}, ""Skrezyna, Dan""=>{:singles=>1, :doubles=>0, :triples=>0, :rbi=>0, :hr=>0, :ab=>4}, ""Stolker, Joscelyn""=>{:singles=>2, :doubles=>0, :triples=>0, :rbi=>0, :hr=>0, :ab=>3}, ""Warner, Tim""=>{:singles=>0, :doubles=>0, :triples=>1, :rbi=>1, :hr=>0, :ab=>3}, ""Gonnella, Chris""=>{:singles=>0, :doubles=>0, :triples=>0, :rbi=>2, :hr=>1, :ab=>2}, ""Brittany, Haley""=>{:singles=>1, :doubles=>0, :triples=>0, :rbi=>0, :hr=>0, :ab=>3}, ""Hartman, April""=>{:singles=>1, :doubles=>0, :triples=>0, :rbi=>0, :hr=>0, :ab=>3}}"
10,17,"[{:hits=>4, :runs=>3}, {:hits=>2, :runs=>0}, {:hits=>3, :runs=>2}, {:hits=>8, :runs=>6}, {:hits=>8, :runs=>6}, {:hits=>0, :runs=>0}, {:hits=>0, :runs=>0}]","{""Thomas, Zach""=>{:singles=>0, :doubles=>1, :triples=>1, :rbi=>3, :hr=>1, :ab=>3}, ""Wickham, Will""=>{:singles=>1, :doubles=>0, :triples=>1, :rbi=>2, :hr=>0, :ab=>3}, ""Whitacre, Paul""=>{:singles=>1, :doubles=>0, :triples=>0, :rbi=>0, :hr=>0, :ab=>4}, ""Bergan, Derek""=>{:singles=>1, :doubles=>1, :triples=>1, :rbi=>1, :hr=>0, :ab=>3}, ""Louw, Johan""=>{:singles=>2, :doubles=>0, :triples=>1, :rbi=>3, :hr=>0, :ab=>3}, ""Campbell, Matthew""=>{:singles=>0, :doubles=>1, :triples=>0, :rbi=>1, :hr=>0, :ab=>3}, ""Walker, Quinn""=>{:singles=>1, :doubles=>1, :triples=>0, :rbi=>2, :hr=>0, :ab=>4}, ""Skrezyna, Dan""=>{:singles=>1, :doubles=>1, :triples=>0, :rbi=>1, :hr=>0, :ab=>3}, ""Stolker, Joscelyn""=>{:singles=>2, :doubles=>0, :triples=>0, :rbi=>1, :hr=>0, :ab=>4}, ""Warner, Tim""=>{:singles=>1, :doubles=>0, :triples=>1, :rbi=>2, :hr=>0, :ab=>3}, ""Gonnella, Chris""=>{:singles=>2, :doubles=>0, :triples=>0, :rbi=>1, :hr=>0, :ab=>5}, ""Brittany, Haley""=>{:singles=>1, :doubles=>0, :triples=>0, :rbi=>0, :hr=>0, :ab=>3}, ""Hartman, April""=>{:singles=>1, :doubles=>0, :triples=>0, :rbi=>0, :hr=>0, :ab=>3}}"
